#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   455.0           3.8041E+00              3.8041E+00
   456.0           3.8054E+00              3.8054E+00
   457.0           3.8067E+00              3.8067E+00
   458.0           3.8080E+00              3.8080E+00
   459.0           3.8093E+00              3.8093E+00
   460.0           3.8106E+00              3.8105E+00
   461.0           3.8119E+00              3.8119E+00
   462.0           3.8132E+00              3.8132E+00
   463.0           3.8144E+00              3.8144E+00
   464.0           3.8157E+00              3.8157E+00
   465.0           3.8170E+00              3.8170E+00
   466.0           3.8183E+00              3.8183E+00
   467.0           3.8196E+00              3.8196E+00
   468.0           3.8208E+00              3.8208E+00
   469.0           3.8221E+00              3.8221E+00
   470.0           3.8233E+00              3.8233E+00
   471.0           3.8247E+00              3.8247E+00
   472.0           3.8259E+00              3.8259E+00
   473.0           3.8272E+00              3.8272E+00
   474.0           3.8284E+00              3.8284E+00
   475.0           3.8297E+00              3.8297E+00
   476.0           3.8310E+00              3.8310E+00
   477.0           3.8322E+00              3.8322E+00
   478.0           3.8335E+00              3.8335E+00
   479.0           3.8347E+00              3.8347E+00
   480.0           3.8359E+00              3.8359E+00
   481.0           3.8373E+00              3.8372E+00
   482.0           3.8385E+00              3.8385E+00
   483.0           3.8397E+00              3.8397E+00
   484.0           3.8410E+00              3.8410E+00
   485.0           3.8422E+00              3.8422E+00
   486.0           3.8435E+00              3.8435E+00
   487.0           3.8448E+00              3.8447E+00
   488.0           3.8460E+00              3.8460E+00
   489.0           3.8472E+00              3.8472E+00
   490.0           3.8485E+00              3.8485E+00
   491.0           3.8498E+00              3.8498E+00
   492.0           3.8510E+00              3.8510E+00
   493.0           3.8522E+00              3.8522E+00
   494.0           3.8535E+00              3.8535E+00
   495.0           3.8547E+00              3.8547E+00
   496.0           3.8560E+00              3.8560E+00
   497.0           3.8573E+00              3.8572E+00
   498.0           3.8585E+00              3.8585E+00
   499.0           3.8597E+00              3.8597E+00
   500.0           3.8610E+00              3.8610E+00
   501.0           3.8623E+00              3.8623E+00
   502.0           3.8635E+00              3.8635E+00
   503.0           3.8647E+00              3.8647E+00
   504.0           3.8660E+00              3.8660E+00
   505.0           3.8672E+00              3.8672E+00
   506.0           3.8685E+00              3.8685E+00
   507.0           3.8698E+00              3.8698E+00
   508.0           3.8710E+00              3.8710E+00
   509.0           3.8722E+00              3.8722E+00
   510.0           3.8735E+00              3.8735E+00
   511.0           3.8748E+00              3.8748E+00
   512.0           3.8760E+00              3.8760E+00
   513.0           3.8773E+00              3.8773E+00
   514.0           3.8785E+00              3.8785E+00
   515.0           3.8797E+00              3.8797E+00
   516.0           3.8811E+00              3.8810E+00
   517.0           3.8823E+00              3.8823E+00
   518.0           3.8835E+00              3.8835E+00
   519.0           3.8848E+00              3.8848E+00
   520.0           3.8860E+00              3.8860E+00
   521.0           3.8873E+00              3.8873E+00
   522.0           3.8886E+00              3.8885E+00
   523.0           3.8898E+00              3.8898E+00
   524.0           3.8910E+00              3.8910E+00
   525.0           3.8923E+00              3.8923E+00
   526.0           3.8936E+00              3.8936E+00
   527.0           3.8948E+00              3.8948E+00
   528.0           3.8961E+00              3.8960E+00
   529.0           3.8973E+00              3.8973E+00
   530.0           3.8985E+00              3.8985E+00
   531.0           3.8998E+00              3.8998E+00
   532.0           3.9011E+00              3.9011E+00
   533.0           3.9023E+00              3.9023E+00
   534.0           3.9035E+00              3.9035E+00
   535.0           3.9048E+00              3.9048E+00
   536.0           3.9061E+00              3.9061E+00
   537.0           3.9073E+00              3.9073E+00
   538.0           3.9085E+00              3.9085E+00
   539.0           3.9098E+00              3.9098E+00
   540.0           3.9110E+00              3.9110E+00
   541.0           3.9123E+00              3.9123E+00
   542.0           3.9136E+00              3.9135E+00
   543.0           3.9148E+00              3.9148E+00
   544.0           3.9160E+00              3.9160E+00
   545.0           3.9173E+00              3.9172E+00
   546.0           3.9186E+00              3.9185E+00
   547.0           3.9198E+00              3.9198E+00
   548.0           3.9210E+00              3.9210E+00
   549.0           3.9223E+00              3.9222E+00
   550.0           3.9235E+00              3.9235E+00
   551.0           3.9248E+00              3.9248E+00
   552.0           3.9260E+00              3.9260E+00
   553.0           3.9273E+00              3.9272E+00
   554.0           3.9285E+00              3.9285E+00
   555.0           3.9297E+00              3.9297E+00
   556.0           3.9310E+00              3.9310E+00
   557.0           3.9323E+00              3.9322E+00
   558.0           3.9335E+00              3.9335E+00
   559.0           3.9347E+00              3.9347E+00
   560.0           3.9360E+00              3.9359E+00
   561.0           3.9373E+00              3.9373E+00
   562.0           3.9385E+00              3.9385E+00
   563.0           3.9397E+00              3.9397E+00
   564.0           3.9410E+00              3.9409E+00
   565.0           3.9422E+00              3.9422E+00
   566.0           3.9435E+00              3.9435E+00
   567.0           3.9447E+00              3.9447E+00
   568.0           3.9460E+00              3.9460E+00
   569.0           3.9472E+00              3.9472E+00
   570.0           3.9484E+00              3.9484E+00
   571.0           3.9497E+00              3.9497E+00
   572.0           3.9510E+00              3.9510E+00
   573.0           3.9522E+00              3.9522E+00
   574.0           3.9534E+00              3.9534E+00
   575.0           3.9547E+00              3.9547E+00
   576.0           3.9560E+00              3.9560E+00
   577.0           3.9572E+00              3.9572E+00
   578.0           3.9585E+00              3.9584E+00
   579.0           3.9597E+00              3.9597E+00
   580.0           3.9609E+00              3.9609E+00
   581.0           3.9622E+00              3.9622E+00
   582.0           3.9635E+00              3.9635E+00
   583.0           3.9647E+00              3.9647E+00
   584.0           3.9660E+00              3.9659E+00
   585.0           3.9672E+00              3.9672E+00
   586.0           3.9685E+00              3.9685E+00
   587.0           3.9697E+00              3.9697E+00
   588.0           3.9710E+00              3.9710E+00
   589.0           3.9722E+00              3.9722E+00
   590.0           3.9735E+00              3.9734E+00
   591.0           3.9748E+00              3.9748E+00
   592.0           3.9760E+00              3.9760E+00
   593.0           3.9773E+00              3.9772E+00
