#ndep: 2897
#depth (km)   Vsh_arithmetic (km/s)   Vsh_geometric (km/s)
   243.0           4.5851E+00              4.5846E+00
   244.0           4.5864E+00              4.5859E+00
   245.0           4.5877E+00              4.5872E+00
   246.0           4.5891E+00              4.5886E+00
   247.0           4.5905E+00              4.5900E+00
   248.0           4.5918E+00              4.5913E+00
   249.0           4.5932E+00              4.5927E+00
   250.0           4.5945E+00              4.5940E+00
   251.0           4.5961E+00              4.5956E+00
   252.0           4.5975E+00              4.5970E+00
   253.0           4.5989E+00              4.5984E+00
   254.0           4.6003E+00              4.5998E+00
   255.0           4.6018E+00              4.6013E+00
   256.0           4.6033E+00              4.6029E+00
   257.0           4.6048E+00              4.6043E+00
   258.0           4.6063E+00              4.6058E+00
   259.0           4.6078E+00              4.6073E+00
   260.0           4.6093E+00              4.6088E+00
   261.0           4.6109E+00              4.6105E+00
   262.0           4.6125E+00              4.6120E+00
   263.0           4.6140E+00              4.6136E+00
   264.0           4.6156E+00              4.6151E+00
   265.0           4.6171E+00              4.6167E+00
   266.0           4.6188E+00              4.6184E+00
   267.0           4.6204E+00              4.6200E+00
   268.0           4.6221E+00              4.6216E+00
   269.0           4.6237E+00              4.6232E+00
   270.0           4.6253E+00              4.6248E+00
   271.0           4.6270E+00              4.6266E+00
   272.0           4.6287E+00              4.6282E+00
   273.0           4.6303E+00              4.6299E+00
   274.0           4.6320E+00              4.6316E+00
   275.0           4.6337E+00              4.6332E+00
   276.0           4.6354E+00              4.6350E+00
   277.0           4.6371E+00              4.6367E+00
   278.0           4.6389E+00              4.6384E+00
   279.0           4.6406E+00              4.6401E+00
   280.0           4.6423E+00              4.6418E+00
   281.0           4.6441E+00              4.6437E+00
   282.0           4.6458E+00              4.6454E+00
   283.0           4.6476E+00              4.6472E+00
   284.0           4.6493E+00              4.6489E+00
   285.0           4.6510E+00              4.6506E+00
   286.0           4.6529E+00              4.6525E+00
   287.0           4.6547E+00              4.6543E+00
   288.0           4.6565E+00              4.6561E+00
   289.0           4.6582E+00              4.6579E+00
   290.0           4.6600E+00              4.6596E+00
   291.0           4.6619E+00              4.6616E+00
   292.0           4.6638E+00              4.6634E+00
   293.0           4.6656E+00              4.6652E+00
   294.0           4.6674E+00              4.6670E+00
   295.0           4.6692E+00              4.6689E+00
   296.0           4.6712E+00              4.6708E+00
   297.0           4.6730E+00              4.6727E+00
   298.0           4.6749E+00              4.6745E+00
   299.0           4.6767E+00              4.6764E+00
   300.0           4.6786E+00              4.6782E+00
   301.0           4.6806E+00              4.6802E+00
   302.0           4.6824E+00              4.6821E+00
   303.0           4.6843E+00              4.6839E+00
   304.0           4.6862E+00              4.6858E+00
   305.0           4.6880E+00              4.6877E+00
   306.0           4.6900E+00              4.6897E+00
   307.0           4.6919E+00              4.6915E+00
   308.0           4.6938E+00              4.6934E+00
   309.0           4.6956E+00              4.6953E+00
   310.0           4.6975E+00              4.6971E+00
   311.0           4.6995E+00              4.6991E+00
   312.0           4.7013E+00              4.7010E+00
   313.0           4.7032E+00              4.7028E+00
   314.0           4.7051E+00              4.7047E+00
   315.0           4.7069E+00              4.7066E+00
   316.0           4.7089E+00              4.7085E+00
   317.0           4.7107E+00              4.7104E+00
   318.0           4.7126E+00              4.7122E+00
   319.0           4.7144E+00              4.7141E+00
   320.0           4.7163E+00              4.7159E+00
   321.0           4.7182E+00              4.7178E+00
   322.0           4.7200E+00              4.7196E+00
   323.0           4.7218E+00              4.7214E+00
   324.0           4.7236E+00              4.7233E+00
   325.0           4.7254E+00              4.7251E+00
   326.0           4.7273E+00              4.7270E+00
   327.0           4.7291E+00              4.7287E+00
   328.0           4.7309E+00              4.7305E+00
   329.0           4.7327E+00              4.7323E+00
   330.0           4.7344E+00              4.7341E+00
   331.0           4.7363E+00              4.7359E+00
   332.0           4.7380E+00              4.7377E+00
   333.0           4.7397E+00              4.7394E+00
   334.0           4.7415E+00              4.7411E+00
   335.0           4.7432E+00              4.7429E+00
   336.0           4.7450E+00              4.7446E+00
   337.0           4.7467E+00              4.7463E+00
   338.0           4.7484E+00              4.7480E+00
   339.0           4.7501E+00              4.7497E+00
   340.0           4.7518E+00              4.7514E+00
   341.0           4.7535E+00              4.7531E+00
   342.0           4.7551E+00              4.7548E+00
   343.0           4.7568E+00              4.7564E+00
   344.0           4.7584E+00              4.7580E+00
   345.0           4.7600E+00              4.7597E+00
   346.0           4.7617E+00              4.7613E+00
   347.0           4.7632E+00              4.7629E+00
   348.0           4.7648E+00              4.7644E+00
   349.0           4.7663E+00              4.7660E+00
   350.0           4.7679E+00              4.7675E+00
   351.0           4.7694E+00              4.7691E+00
   352.0           4.7709E+00              4.7705E+00
   353.0           4.7724E+00              4.7720E+00
   354.0           4.7738E+00              4.7734E+00
   355.0           4.7753E+00              4.7749E+00
   356.0           4.7767E+00              4.7763E+00
   357.0           4.7781E+00              4.7777E+00
   358.0           4.7794E+00              4.7790E+00
   359.0           4.7808E+00              4.7804E+00
   360.0           4.7821E+00              4.7818E+00
   361.0           4.7834E+00              4.7831E+00
   362.0           4.7847E+00              4.7843E+00
   363.0           4.7860E+00              4.7856E+00
   364.0           4.7872E+00              4.7869E+00
   365.0           4.7885E+00              4.7881E+00
   366.0           4.7897E+00              4.7893E+00
   367.0           4.7908E+00              4.7905E+00
   368.0           4.7920E+00              4.7916E+00
   369.0           4.7931E+00              4.7928E+00
   370.0           4.7943E+00              4.7939E+00
   371.0           4.7954E+00              4.7951E+00
   372.0           4.7964E+00              4.7961E+00
   373.0           4.7975E+00              4.7972E+00
   374.0           4.7986E+00              4.7982E+00
   375.0           4.7996E+00              4.7993E+00
   376.0           4.8006E+00              4.8003E+00
   377.0           4.8016E+00              4.8012E+00
   378.0           4.8025E+00              4.8022E+00
   379.0           4.8035E+00              4.8032E+00
   380.0           4.8044E+00              4.8041E+00
   381.0           4.8054E+00              4.8051E+00
   382.0           4.8062E+00              4.8059E+00
   383.0           4.8071E+00              4.8068E+00
   384.0           4.8080E+00              4.8077E+00
   385.0           4.8089E+00              4.8085E+00
   386.0           4.8097E+00              4.8094E+00
   387.0           4.8105E+00              4.8102E+00
   388.0           4.8113E+00              4.8110E+00
   389.0           4.8121E+00              4.8118E+00
   390.0           4.8129E+00              4.8126E+00
   391.0           4.8137E+00              4.8134E+00
   392.0           4.8144E+00              4.8141E+00
   393.0           4.8152E+00              4.8149E+00
   394.0           4.8159E+00              4.8156E+00
   395.0           4.8166E+00              4.8164E+00
   396.0           4.8174E+00              4.8171E+00
   397.0           4.8181E+00              4.8178E+00
   398.0           4.8188E+00              4.8185E+00
   399.0           4.8195E+00              4.8192E+00
   400.0           4.8202E+00              4.8199E+00
   401.0           4.8209E+00              4.8206E+00
   402.0           4.8216E+00              4.8213E+00
   403.0           4.8223E+00              4.8220E+00
   404.0           4.8230E+00              4.8227E+00
   405.0           4.8236E+00              4.8234E+00
   406.0           4.8577E+00              4.8574E+00
   407.0           4.8947E+00              4.8944E+00
   408.0           4.9317E+00              4.9314E+00
   409.0           4.9688E+00              4.9685E+00
   410.0           5.0058E+00              5.0055E+00
   411.0           5.0138E+00              5.0135E+00
   412.0           5.0165E+00              5.0162E+00
   413.0           5.0192E+00              5.0189E+00
   414.0           5.0219E+00              5.0216E+00
   415.0           5.0246E+00              5.0242E+00
   416.0           5.0273E+00              5.0270E+00
   417.0           5.0300E+00              5.0296E+00
   418.0           5.0326E+00              5.0323E+00
   419.0           5.0352E+00              5.0349E+00
   420.0           5.0378E+00              5.0375E+00
   421.0           5.0405E+00              5.0402E+00
   422.0           5.0431E+00              5.0428E+00
   423.0           5.0456E+00              5.0453E+00
   424.0           5.0482E+00              5.0478E+00
